"","","","","","beta_1","beta_2","alpha_1","","","",""
"1","mmds-c","1","30","1","-0.319155759636251","-1.34588988531307","0.117107236569206","0.494357373114947","-3.71628604828863","60.6848438629931","81.3370847192407"
"2","mmds-1","1","30","1","-0.752532259857998",NA,NA,"0.570562561284258","-7.19750449704825","52.579685446718","81.3370847192407"
"3","cds-hnc","1","30","1",NA,NA,NA,"0.570562558111334","-7.19750449704823","52.5796857391159","81.3370847192407"
"4","cds-hrp","1","30","1",NA,NA,NA,"0.532039369048304","-5.86508025778696","56.3868047089506","81.3370847192407"
"5","cds-hnc-w","1","30","1",NA,NA,NA,"0.570562558111334","-7.19750449704823","52.5796857391159","81.3370847192407"
"6","cds-hrp-w","1","30","1",NA,NA,NA,"0.532039369048304","-5.86508025778696","56.3868047089506","81.3370847192407"
"7","mmds-c","1","30","2","-0.500216200452257","-2.32037460081045","0.0582365313571184","0.322890463124309","-6.93672478132895","92.9107651855619","81.3370847192407"
"8","mmds-1","1","30","2","-0.777672235399798",NA,NA,"0.558863021702749","-7.9373786064971","53.6804169089515","81.3370847192407"
"9","cds-hnc","1","30","2",NA,NA,NA,"0.558862930955908","-7.93737860649587","53.6804256254507","81.3370847192407"
"10","cds-hrp","1","30","2",NA,NA,NA,"0.353225094128768","-9.13042960582161","84.9316781243846","81.3370847192407"
"11","cds-hnc-w","1","30","2",NA,NA,NA,"0.558862930955908","-7.93737860649587","53.6804256254507","81.3370847192407"
"12","cds-hrp-w","1","30","2",NA,NA,NA,"0.353225094128768","-9.13042960582161","84.9316781243846","81.3370847192407"
"13","mmds-c","1","30","3","4.07062497368486","-1.6860328409402","-0.0648728253570287","0.45434727991388","-0.873640537640763","66.0287875074027","81.3370847192407"
"14","mmds-1","1","30","3","-0.477933263301976",NA,NA,"0.694135342620014","-1.67847847684432","43.2192371688855","81.3370847192407"
"15","cds-hnc","1","30","3",NA,NA,NA,"0.694135344219118","-1.67847847684432","43.2192370693199","81.3370847192407"
"16","cds-hrp","1","30","3",NA,NA,NA,"0.533019275596336","-2.12524019137434","56.2831427933565","81.3370847192407"
